cty_code,ons_name,csv_division,note
E10000012,Springfield ED,Chelmer,Essex 2025 review: Springfield absorbed into Chelmer (matched)
E10000012,Stanway and Pyefleet ED,Stanway and Marks Tey,Essex 2025 review: renamed
E10000012,Stock ED,Danbury and The Hanningfields,Essex 2025 review: Stock absorbed
E10000012,Wickford Crouch ED,Castledon and Crouch,Essex 2025 review: renamed
E10000012,Witham Northern ED,Witham Town,Essex 2025 review: Witham N/S renamed Town/West and Rural
E10000012,Witham Southern ED,Witham West and Rural,Essex 2025 review: Witham N/S renamed Town/West and Rural
E10000029,Beccles ED,Beccles & Kessingland,Suffolk 2025 review: Kessingland absorbed
E10000029,Blything ED,Blyth Estuary,Suffolk 2025 review: renamed
E10000029,Framlingham ED,Framlingham & Wickham Market,Suffolk 2025 review: Wickham Market absorbed
E10000029,Great Cornard ED,Cornard & Sudbury East,Suffolk 2025 review: renamed (also Sudbury East and Waldingfield ED)
E10000029,Belstead Brook ED,Belstead Hills,Suffolk 2025 review: renamed
E10000029,Haverhill East and Kedington ED,Haverhill East & Rural,Suffolk 2025 review: renamed
E10000029,Chantry ED,Gipping,Suffolk 2025 review: SW Ipswich absorbed into Gipping
E10000029,Felixstowe Coastal ED,Felixstowe Clifflands,Suffolk 2025 review: 2-into-2 Felixstowe redraw (issue #14)
E10000029,Felixstowe North and Trimley ED,Walton & Trimleys,Suffolk 2025 review: Trimleys principal successor
E10000029,Haverhill Cangle ED,Haverhill North West & Withersfield,Suffolk 2025 review: Cangle (N Haverhill) renamed
E10000029,Kesgrave and Rushmere St. Andrew ED,Kesgrave,Suffolk 2025 review: 1-into-2 split (Kesgrave principal)
E10000029,Kessingland and Southwold ED,Saxmundham & District,Suffolk 2025 review: Southwold absorbed (Kessingland to Beccles ED override)
E10000029,Lowestoft South ED,Oulton Broad & Normanston,Suffolk 2025 review: SW Lowestoft renamed
E10000029,Pakefield ED,Kirkley & Pakefield,Suffolk 2025 review: Pakefield absorbed
E10000029,Samford ED,Peninsula,Suffolk 2025 review: Samford Hundred absorbed into Peninsula (matched)
E10000029,St. Helen's ED,St Clement's,Suffolk 2025 review: E Ipswich parishes merged
E10000029,St. John's ED,Priory Heath,Suffolk 2025 review: E Ipswich absorbed into Priory Heath (matched)
E10000029,St. Margaret's and Westgate ED,St Margaret's,Suffolk 2025 review: 1-into-2 split (St Margaret's principal; Westgate new)
E10000029,Stowmarket North and Stowupland ED,Stowmarket East,Suffolk 2025 review: Stowmarket redraw (N/Stowupland → E)
E10000029,Stowmarket South ED,Stowmarket West,Suffolk 2025 review: Stowmarket redraw (S → W)
E10000029,Sudbury ED,Sudbury West,Suffolk 2025 review: 1-into-2 split (Sudbury W principal; Sudbury E via Great Cornard ED override)
E10000029,Sudbury East and Waldingfield ED,Cornard & Sudbury East,Suffolk 2025 review: 2-into-1 merge (with Great Cornard ED)
E10000029,Thingoe North ED,Barrow & Thingoe,Suffolk 2025 review: Thingoe redraw (N principal successor)
E10000029,Thingoe South ED,Barrow & Thingoe,Suffolk 2025 review: 2-into-1 merge (with Thingoe North)
E10000029,Tower ED,Abbeygate & Minden,Suffolk 2025 review: Bury St Edmunds town center renamed
E10000029,Whitehouse and Whitton ED,Whitton,Suffolk 2025 review: 1-into-2 split (Whitton principal)
E10000029,Wickham ED,Framlingham & Wickham Market,Suffolk 2025 review: 2-into-1 merge (with Framlingham ED)
